city,count,actual_average,predicted_average,mae,mape,signed_error_percent
あきる野市,2,12900000.0,13233486.440846726,892832.891337757,8.00468894444,4.508773628871063
清瀬市,10,38100000.0,34005249.90126271,4094750.098737292,10.123049567536858,-10.123049567536858
国立市,27,47000000.0,43553544.79129413,4929114.878905862,10.143046794811651,-5.94975782281213
羽村市,7,19357142.85714286,17995401.031961042,1977215.212783541,11.98016185707131,-5.443194961126835
東大和市,16,28218750.0,26102287.33190164,3113600.672997209,11.998244967127045,-5.5413892456069
福生市,14,17507142.85714286,15937846.796597775,2056573.8987399396,12.593386950893134,-5.882986145018073
府中市,87,44958620.68965517,40979456.95331997,6352244.582004288,14.100830746573111,-4.679953247372204
三鷹市,63,57576190.47619048,50847253.47277822,8529401.183676759,14.295104563094709,-9.83324022313182
昭島市,35,32057142.85714286,29390481.013512943,4641785.313310761,14.966987223694131,-4.400534841135703
町田市,81,37245679.01234568,33449997.866665777,5332772.976523024,14.99395253342068,-7.047285654673185
立川市,34,39670588.23529412,37433094.56318108,4948323.572444836,15.069393677236562,-0.40513445063510933
青梅市,30,15956666.666666666,16130876.273677979,2388973.0479849163,15.435229655717276,3.2691260452245436
調布市,116,46962068.96551724,40927522.70929195,7406955.003219217,15.522339128730016,-9.158927958152253
江戸川区,193,52570466.321243525,46368655.401306644,8207125.75762897,15.556803978756141,-8.865487996719766
国分寺市,41,60617073.17073171,53451049.094335385,9395073.117835687,15.82536048599413,-8.677986340334577
北区,166,67259036.14457831,58194849.54863368,10968952.696965672,15.947818951577045,-10.540948674663094
板橋区,291,46467353.95189004,41365604.426157124,7118592.762415295,16.2132906215024,-6.4829133299661645
小平市,42,38052380.952380955,35193497.62575681,5106296.748832554,16.258661262388262,-0.9139805083173649
大田区,297,49944781.14478114,43264185.63047321,8522709.209809458,16.42627324643861,-9.777693633146761
中野区,151,64481456.95364238,54228868.343918905,11773926.057054253,16.44711967294288,-12.068399126935752
練馬区,230,45356086.95652174,41334655.84428093,7093501.357118862,16.61703005242979,-4.8706655027688335
江東区,450,83071111.1111111,70056646.55322987,14313419.349008301,16.622340770647284,-13.350088596150522
世田谷区,427,79002576.11241218,67852636.35693055,14029620.79247441,16.741694824854434,-9.850796157991246
新宿区,319,76971159.87460814,65746447.47084269,14052297.0434669,16.930139883399068,-11.177147348303198
台東区,192,62321875.0,52875716.895833366,11677393.740937844,17.088805797887293,-10.541076985390038
港区,304,116245065.78947368,101203396.79819708,21221789.915538725,17.307435188142367,-9.417378638695359
小金井市,31,47332258.06451613,41785744.918547496,8499970.415039372,17.37924851015437,-7.749582765313023
千代田区,71,103563380.28169014,87143321.7113736,20015291.8016129,17.404470522723347,-12.087191008374242
八王子市,138,28362318.84057971,26468572.735078532,4596051.560425866,17.54020085475954,-2.03993719637593
渋谷区,199,104483919.59798995,92658649.8429004,18459106.11356223,17.603617598395765,-8.432304303810572
葛飾区,158,43384177.215189874,37370728.426201075,7586112.988036335,17.685650512583866,-11.513907184612343
豊島区,157,71536942.67515923,60890655.56892985,13213254.639213273,17.926114341977513,-11.175471221573776
墨田区,180,59284444.44444445,48794880.431409106,11833576.61880866,18.163338732890665,-14.046899797245828
西東京市,60,41791666.666666664,38446968.75383447,6714503.610676802,18.274364972500063,-1.7017327412721313
日野市,32,29346875.0,26529151.612989873,5000836.583033234,18.33465835660044,-5.772562594442628
文京区,192,88675000.0,73714632.23916267,17510221.117268253,18.347893179822197,-12.800065721765682
多摩市,90,33220000.0,30107965.439484984,5421930.311851232,18.456896523025232,-4.764928280971333
東村山市,29,27793103.44827586,25663681.78902911,4746151.589737474,18.653262629587903,-4.960768229995337
足立区,220,39874545.45454545,33805722.05734637,7956206.335744537,18.685302564951783,-10.356926123437015
稲城市,36,36322222.222222224,32010069.42727381,6066688.704786501,18.70022859913292,-6.705549009645528
目黒区,181,86137016.57458563,75871350.51908872,16574754.044615924,18.90814875567142,-7.2913135531845485
品川区,285,88914385.96491228,73622360.53528,17658704.418442577,18.969742103418298,-13.594642896599298
杉並区,229,65150218.34061135,55560034.64549927,12605929.533476776,19.026581679733624,-9.140318665764955
狛江市,27,51111111.11111111,44803481.569932975,9752175.044942034,19.118804305231247,-7.324908419970535
荒川区,109,63348623.85321101,53163169.24381424,12120022.22764689,19.244429191666153,-11.549436434031632
中央区,286,113695804.1958042,97916562.95511739,20980284.627514936,19.416399633487504,-10.467302166703174
武蔵野市,63,77238095.23809524,68932953.73624398,14353893.045604745,20.020175217779393,-2.9391903813035034
東久留米市,24,28812500.0,25097955.625287686,6041862.431149386,22.456124437610203,-1.4394169774537169
