station_name,station_line,count,actual_average,predicted_average,mae,mape,signed_error_percent
勝どき,12号線大江戸線,92,136913043.47826087,120029973.43342094,22093847.684873294,16.01506275334153,-9.516064397550442
三鷹,中央線,67,66508955.2238806,58128262.56887197,10862137.472801605,16.214598113392483,-8.689799302189286
豊洲,8号線有楽町線,58,138741379.31034482,117026097.80960883,22869009.539428126,16.316421592684854,-15.384365946065838
目黒,山手線,56,105035714.28571428,94658143.80232777,15425427.005858174,14.753568633538721,-7.075840480729529
錦糸町,11号線半蔵門線,56,74107142.85714285,59886586.97395952,16335753.935762126,19.695275340158588,-15.753567192836693
大森,東海道線,47,56404255.319148935,46230116.54543976,10716305.859256357,16.274887401310036,-14.389789102627592
池袋,4号線丸ノ内線,45,64511111.11111111,57308776.29277187,9599223.322039781,14.956424616771137,-9.804348342651279
品川,本線,43,131674418.60465117,117329680.0006184,20124790.421404663,15.01640675528402,-8.450026398912605
月島,12号線大江戸線,43,134883720.93023255,117654258.45178033,23044184.603096895,16.17737995943497,-8.394988249950472
南砂町,5号線東西線,43,59465116.27906977,53163047.76372378,10151435.706136292,16.291438293740793,-8.744968503622427
亀戸,亀戸線,42,55333333.333333336,45711341.3049893,10392949.863659356,16.401086678968664,-13.045113045678209
吉祥寺,井の頭線,40,68355000.0,63488167.18389426,12877280.173116487,20.09509058272056,1.2476958793347652
東陽町,5号線東西線,39,75384615.38461539,62677078.60917063,13000166.40556241,14.727243780873133,-14.19934417179758
白金高輪,6号線三田線,39,120948717.94871795,102415891.7219549,19952860.41399377,17.448354426562357,-15.178255363445942
荻窪,4号線丸ノ内線,39,59923076.92307692,51801733.30324099,11128896.217811791,19.90775848805373,-10.972221073509745
西葛西,5号線東西線,38,51526315.78947368,43700520.6121359,8671949.598883627,15.772343215647577,-14.062508451258315
新小岩,総武線,38,49605263.15789474,44469658.13734498,8369046.709667827,18.013542152992738,-5.873621333212444
北綾瀬,9号線千代田線,38,38623684.21052632,32851549.868743666,7278179.844601013,18.890468177061255,-11.695941961612707
田町,東海道線,37,103216216.21621622,91719738.26119144,14807557.827004809,14.146967246629982,-12.155839640587175
八王子,横浜線,36,36647222.222222224,32179811.740488775,5462825.193207351,14.949937108541102,-9.394437858902506
調布,京王線,36,49416666.666666664,41800377.95399773,8753765.270660343,17.040120373351375,-12.0406734115044
大山,東上本線,35,63342857.14285714,56850890.11786295,7831991.238126671,12.491869379269962,-9.91437264782763
小岩,総武線,35,65005714.28571428,57061192.888678715,9609821.303155832,14.072463628370977,-8.21968237548691
葛西,5号線東西線,35,43005714.28571428,38195782.118044004,6201991.727428945,14.392255775194945,-9.344582103817
府中,京王線,35,56145714.28571428,50134209.07689822,8911868.127155477,15.860387448663134,-6.723931861300323
江戸川橋,8号線有楽町線,35,83285714.28571428,73314195.76437993,13448001.825887214,17.595941195309585,-7.024305782219508
京王多摩センター,相模原線,35,31105714.285714287,28174359.634524,4942527.259732563,18.23168871104525,-8.61137881710099
千歳船橋,小田原線,33,68354545.45454545,61244318.821048915,9572249.261924164,15.199329304467149,-8.98980568179675
武蔵小金井,中央線,33,45069696.96969697,39829643.04714789,7420322.143189547,15.241959508480534,-8.27403480091072
桜新町,田園都市線,33,95757575.75757575,81060849.51053068,16250291.405896228,17.007841399764484,-13.785299830409102
学芸大学,東横線,33,83818181.81818181,80753667.46854109,15238331.628820857,17.561523512202687,-0.19882704374830962
大島,10号線新宿線,32,54375000.0,45777631.920003586,9487924.493642312,16.489656845813865,-13.824118054581184
南千住,2号線日比谷線,32,60712500.0,50140398.90873747,12274247.563343495,19.691786079345682,-13.776404177387436
用賀,田園都市線,31,87516129.03225806,75704815.45939144,12740253.307605587,13.312554375173479,-11.947006635017487
西荻窪,中央線,31,59032258.06451613,48618010.03575248,11720609.09791523,19.00088091193424,-15.865261854089624
花小金井,新宿線,31,34438709.67741936,32774445.328195717,5267308.924160462,21.07587990060093,8.409545414544459
池尻大橋,田園都市線,31,81709677.41935484,71014225.5636964,20869255.98696648,26.508396019417823,-4.754601280979373
駒沢大学,田園都市線,30,83273333.33333333,69918161.72164413,14924654.426107509,16.68887780666562,-13.253018265969652
中野,中央線,30,88366666.66666667,67700722.08431277,22845471.103425622,20.201953133908827,-14.725507646006175
町田,横浜線,29,33034482.75862069,28457462.93529361,6041741.891934039,17.046139139664344,-9.968258613395626
八丁堀,京葉線,28,104285714.28571428,92251554.42556003,14245555.410840152,13.225860095607993,-9.963752187877992
金町,常磐線,28,60428571.428571425,52508844.871776834,9874678.28510636,15.58036609592548,-11.272211436958813
王子神谷,7号線南北線,28,60357142.85714286,51080549.09925986,10047970.016410252,15.861351685674283,-14.342476370937998
練馬,西武有楽町線,28,41035714.28571428,39681228.33694021,6475743.275500657,16.07070337426195,1.03017451587244
二子玉川,大井町線,28,127621428.57142857,107105396.74156572,22453876.909559887,16.214904558224237,-14.27140609260222
高田馬場,新宿線,28,77964285.71428572,66589143.78811068,12555461.268982306,17.04398927562583,-12.833051002694939
大塚,山手線,28,62392857.14285714,52410688.16788647,11714801.432476344,17.777837962779405,-15.128789466334359
西新宿五丁目,12号線大江戸線,28,81410714.28571428,72751527.76373205,14097016.858012179,19.51495457534345,-8.021060545168996
春日,6号線三田線,28,113642857.14285715,95099524.86970215,22376753.82966415,20.214016685191805,-14.722386088606658
大井町,大井町線,28,103285714.28571428,84075303.49476042,22037164.41391952,20.910439545091357,-17.673564628296056
田無,新宿線,28,34553571.428571425,32927068.221197553,5707010.339521445,21.7994554496996,5.237614231036368
東武練馬,東上本線,27,49274074.074074075,44710528.638339,6462677.89949925,14.335573792348066,-9.12859232728453
都立大学,東横線,27,84481481.48148148,75444908.1033112,14018345.561804907,14.891277566889535,-7.7415707344055145
蔵前,1号線浅草線,27,70518518.51851852,59482811.22388094,12180092.007648971,15.574758701052351,-13.299659916907963
両国,総武線,27,56703703.7037037,48337181.17430145,9598175.173576884,16.197621218096774,-12.004160851182167
三軒茶屋,田園都市線,27,73151851.85185185,61371823.843914285,13745517.905920815,17.633382193193082,-9.482235487259837
方南町,4号線丸ノ内線分岐線,27,61703703.7037037,54536450.417239964,10844062.928254632,19.160928774315902,-6.046776340304451
王子駅前,荒川線,27,59703703.7037037,51941439.68294601,12289929.145238461,20.879314567047942,-9.693505118709368
麻布十番,12号線大江戸線,27,120962962.96296297,106367377.86839694,31370699.350787487,21.23397723820168,-2.661730904699345
大崎,臨海副都心線,27,153259259.25925925,116020393.23970652,37652487.20261877,23.752828113532573,-23.308074153246533
千歳烏山,京王線,26,56623076.92307692,52556976.9684224,6377095.049185259,10.079913915394952,-4.419436996861142
国立,中央線,26,51319230.76923077,46273354.77198823,6657903.803404942,12.29902882674125,-7.86898243531992
住吉,11号線半蔵門線,26,75384615.38461539,64593306.281861834,12576186.657746103,16.16592712556713,-10.059447413179127
東大島,10号線新宿線,26,52192307.692307696,44208076.80855607,10589304.774342693,20.472179656879142,-11.663255803445647
武蔵関,新宿線,25,45800000.0,45040291.78816881,5040569.42723473,11.049497303980264,0.5326354188109655
仙川,京王線,25,62520000.0,56164887.66109404,7961036.169140113,11.774922728585029,-8.585258026659414
大森海岸,本線,25,58880000.0,50107039.26442151,9545220.249617647,16.119504517133347,-11.27740237297156
恵比寿,山手線,25,117400000.0,101919160.68870857,26672611.831419803,21.352303826662148,-6.034819979949038
中目黒,東横線,25,93232000.0,79155934.01098917,19558891.769065812,23.77592600332481,-11.385107614729845
板橋区役所前,6号線三田線,24,61583333.333333336,51889404.42402753,10556119.208245544,16.10747846707456,-10.769289588294301
五反田,1号線浅草線,24,64583333.333333336,58574806.9069258,10817442.608953306,17.22723650531252,-5.273885506990049
ひばりヶ丘,池袋線,24,48916666.666666664,43050927.8720335,9220546.920409946,18.737863840885442,-10.236304267231759
国領,京王線,24,34870833.333333336,30038180.676083356,6791998.725220109,18.894357023366734,-6.0208409385925625
浅草,常磐新線,24,80750000.0,64557653.63252077,21135333.608738218,25.5891583559479,-8.243956255928541
東中野,中央線,23,84130434.7826087,74098127.03609125,11141173.380566714,14.701531862037946,-10.461794130824982
浅草,3号線銀座線,23,48869565.217391305,43210092.208774865,7506739.3348005945,15.120028735419066,-8.840870555914378
西馬込,1号線浅草線,23,54730434.782608695,48664884.297552265,8878092.695635745,15.284855642250049,-7.4608573952703585
聖蹟桜ヶ丘,京王線,23,43139130.43478261,38567872.714706495,5990399.116832249,16.084671538533954,-6.128751623043361
広尾,2号線日比谷線,23,138608695.6521739,129085438.10771883,23528878.70055254,17.235872768024954,-6.639010320654114
お花茶屋,本線,23,30217391.304347824,24979500.703072682,5661728.660886409,17.55888058970235,-15.32600197068714
有明テニスの森,東京臨海新交通臨海線,23,109304347.82608695,89433899.96223572,20882821.023000516,19.47249720380057,-18.460124044651288
亀有,常磐線,23,42260869.56521739,34813340.86501382,8655825.768443398,20.365951646262463,-15.509357811729913
京王永山,相模原線,23,24978260.86956522,23587980.30632883,5260470.048549795,21.843492248065434,0.6098986775128247
武蔵小山,目黒線,23,123260869.56521739,101384449.97666162,26620427.77494417,22.767970343685715,-12.944354494481566
品川シーサイド,臨海副都心線,23,88000000.0,68226098.44189207,20709003.714183994,22.851944929414152,-20.943573182320144
立川,南武線,22,45540909.09090909,42832192.51590301,4597115.053200915,10.425466173671168,-5.346439972294784
国分寺,国分寺線,22,70000000.0,63256573.938127734,9459465.755874285,14.528701316219264,-5.943495138587329
平井,総武線,22,71545454.54545455,59951492.08774502,12072259.62854555,16.061394282648806,-15.375804197261159
三ノ輪,2号線日比谷線,22,51045454.54545455,42779592.92333732,9273647.455868559,16.592035733098328,-13.952654384208351
駒込,7号線南北線,22,78636363.63636364,63796990.46421838,15172752.444930905,16.868365027952645,-15.636650553552029
門前仲町,12号線大江戸線,22,63772727.27272727,53500858.3586087,11621972.615994094,18.006415714586492,-13.068769279886528
祐天寺,東横線,22,92409090.9090909,81140964.2214751,19068088.27251604,19.047820742220008,-6.695945809404177
志村坂上,6号線三田線,21,42309523.809523806,38747233.087129846,5051738.193654023,10.309140863780149,-6.9165192291465205
高井戸,井の頭線,21,54952380.952380955,51898625.2659659,6037497.380234667,11.503652461425073,-5.369208469755991
北赤羽,東北線,21,68380952.38095239,58830553.49584625,10768319.770250019,16.013763744763356,-10.304060553570006
清澄白河,12号線大江戸線,21,100714285.71428572,83936888.31093164,17461405.675213616,16.35712492587027,-15.111291339476733
竹ノ塚,伊勢崎線,21,29500000.0,28362877.881933887,5140534.8064881,16.58395248025142,-5.293149229988917
南大沢,相模原線,21,33380952.38095238,31671169.875927284,5469272.715760221,16.96010017611558,0.15120574480447063
渋谷,山手線,21,101000000.0,97737568.92630717,14660458.014946397,17.69323630658843,-4.204494126908996
押上,伊勢崎線,21,66047619.047619045,52607759.300569125,14628516.35015136,19.92135525750224,-16.793311565130036
日暮里,常磐線,21,73428571.42857143,61743656.435481265,14749968.926488042,22.23638255389212,-10.083399466884952
蒲田,東海道線,20,33700000.0,31345141.44952807,3882439.7268225416,12.129507304505426,-6.247175348831036
武蔵境,多摩川線,20,66100000.0,56794394.24069194,10221638.639975907,14.360091567536788,-12.712745318624
入谷,2号線日比谷線,20,54900000.0,48041912.95008565,8353767.49297736,15.675302075759017,-8.439752503512924
